id,family,source,locator,source_class,constraint_type,level,constraint,response,architecture_elements,verification_criterion,status,diagnostic_note,source_unit_id,atomization_rule,sibling_constraint_ids
C03.01,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"Luật 93/2025/QH15, khoản 3 Điều 20",A,PLATFORM,L1,"Nhà nước xây dựng, vận hành, duy trì Nền tảng số quản lý KH,CN&ĐMST quốc gia tập trung, thống nhất và kết nối các chủ thể liên quan.",Đặt nền tảng miền như thành phần tương thích/kết nối với nền tảng quốc gia; không coi là hệ thống biệt lập.,AE01;AE11;AE12;AE20,Kiến trúc có biên kết nối quốc gia và không tạo silo độc lập.,ĐÁP ỨNG,,SU004,R1,
C03.02,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 35",A,DATA_RULE,L1,Đối tượng DNKNST là doanh nghiệp được thành lập theo Luật Doanh nghiệp.,Định danh DNKNST phải liên kết EnterpriseIdentity từ nguồn đăng ký doanh nghiệp.,AE03;AE16,Hồ sơ DNKNST bắt buộc có khóa liên kết doanh nghiệp hợp lệ.,ĐÁP ỨNG,,SU005,R1,
C03.03,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 35",A,DATA_RULE,L1,DNKNST phải có dự án đã/cam kết được đầu tư hoặc được/cam kết hỗ trợ bởi các chủ thể được quy định.,Mô hình hồ sơ phải lưu quan hệ đầu tư/hỗ trợ và bằng chứng tương ứng.,AE04;AE17;AE19,"Có đối tượng quan hệ đầu tư/hỗ trợ, nguồn và tài liệu chứng minh.",ĐÁP ỨNG,,SU006,R1,
C03.04,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 35",A,DATA_RULE,L1,Khả năng tăng trưởng doanh thu đạt tối thiểu 20% trong 02 năm liên tiếp theo phân tích quy định.,Hồ sơ phải lưu dữ liệu/phân tích tăng trưởng và mốc thời gian phục vụ đánh giá.,AE04;AE15,Có trường/artefact bằng chứng tăng trưởng và rule kiểm tra 20%/02 năm.,ĐÁP ỨNG,,SU007,R1,
C03.05,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 38",A,RESPONSIBILITY,L1,"Người/tổ chức yêu cầu công nhận tự kê khai và chịu trách nhiệm về tính hợp pháp, trung thực, chính xác của hồ sơ.","Gắn provenance, người kê khai, thời điểm và tuyên bố trách nhiệm vào hồ sơ.",AE04;AE15,"Mỗi bản khai truy được tới chủ thể, thời điểm và phiên bản đã nộp.",ĐÁP ỨNG,,SU008,R1,
C03.06,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 39",A,LIFECYCLE,L1,Giấy công nhận bản giấy và bản điện tử có giá trị pháp lý như nhau.,"Sổ đăng ký giấy hỗ trợ bản điện tử và liên kết bản giấy, giữ cùng trạng thái hiệu lực.",AE06,Hai dạng giấy tham chiếu cùng record/decision và trạng thái.,ĐÁP ỨNG,,SU009,R1,
C03.07,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 39",A,TIME,L1,Giấy công nhận có thời hạn 05 năm từ ngày cấp.,Máy trạng thái tính ngày hết hiệu lực và cảnh báo vòng đời.,AE06;AE10,"Ngày hết hạn = ngày cấp + 05 năm, có lịch sử thay đổi.",ĐÁP ỨNG,,SU010,R1,
C03.08,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 4 Điều 40",A,AUTHORITY,L1,UBND cấp tỉnh có thẩm quyền công nhận DNKNST trong phạm vi quản lý.,Phân công hồ sơ theo phạm vi thẩm quyền/cơ quan có thẩm quyền.,AE04;AE20,Hồ sơ chỉ được quyết định bởi chủ thể/cơ quan đúng phạm vi.,ĐÁP ỨNG,,SU011,R1,
C03.09,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 5 Điều 40",A,AUTHORITY,L1,"Cơ quan có thẩm quyền chịu trách nhiệm cấp, cấp lại, chấm dứt và hủy bỏ hiệu lực Giấy công nhận.",Vòng đời giấy phải gắn chủ thể/cơ quan quyết định và loại quyết định.,AE06;AE20,"Mọi transition pháp lý có cơ quan, quyết định và căn cứ.",ĐÁP ỨNG,,SU012,R1,
C03.10,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm d khoản 1 Điều 41",A,COUNCIL,L1,Hội đồng tư vấn cho DNKNST có 05--07 thành viên.,Rule hội đồng cấu hình số lượng thành viên theo loại hồ sơ.,AE05;AE18,Không cho chốt hội đồng DNKNST ngoài khoảng 05--07.,ĐÁP ỨNG,,SU013,R1,
C03.11,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 41",A,COUNCIL,L1,"Hội đồng có Chủ tịch, Phó Chủ tịch, ủy viên, thư ký; 02 ủy viên phản biện; ít nhất 1/2 thành viên là chuyên gia đáp ứng kinh nghiệm.","Lưu vai trò thành viên, phản biện và điều kiện kinh nghiệm.",AE05;AE18,"Rule kiểm tra đủ vai trò, 02 phản biện và tỷ lệ chuyên gia.",ĐÁP ỨNG,,SU014,R1,
C03.12,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm a khoản 3 Điều 41",A,COUNCIL,L1,"Phiên họp phải có ít nhất 2/3 tổng số thành viên, có Chủ tịch/Phó Chủ tịch và đủ 02 phản biện.",Quorum là điều kiện trước khi mở/chốt phiên họp.,AE05;AE18,Không cho kết luận nếu quorum/roles không đạt.,ĐÁP ỨNG,,SU015,R1,
C03.13,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm d khoản 4 Điều 41",A,COUNCIL,L1,Kết quả đồng ý khi trên 2/3 số thành viên có mặt bỏ phiếu Đồng ý.,Rule tính kết quả dựa trên số người có mặt và phiếu.,AE05;AE18,Kết quả tự động/kiểm tra đúng ngưỡng >2/3.,ĐÁP ỨNG,,SU016,R1,
C03.14,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm đ khoản 4 Điều 41",A,AUDIT,L1,"Thư ký công khai kết quả biểu quyết, lập biên bản và có chữ ký xác nhận của thành viên dự họp.","Lưu kết quả, biên bản, chữ ký/xác nhận và audit trail.",AE05;AE15,Biên bản chứa kết quả và dấu xác nhận thành viên.,ĐÁP ỨNG,,SU017,R1,
C03.15,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 43",A,WORKFLOW,L1,Hồ sơ công nhận được gửi trực tiếp hoặc trực tuyến tới cơ quan có thẩm quyền.,Hỗ trợ đa kênh tiếp nhận nhưng hợp nhất vào một hồ sơ/trạng thái.,AE04;AE07;AE24;AE26,Hồ sơ từ hai kênh được định danh và xử lý thống nhất.,ĐÁP ỨNG,,SU018,R1,
C03.16,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm a khoản 2 Điều 43",A,TIME,L1,Trong 05 ngày làm việc phải trả lời về tính hợp lệ hồ sơ công nhận.,Bộ hẹn 05 ngày làm việc gắn trạng thái kiểm tra hợp lệ.,AE04;AE10;AE24;AE26,Có timestamp tiếp nhận và deadline; cảnh báo/ghi bằng chứng trả lời.,ĐÁP ỨNG,,SU019,R1,
C03.17,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm b khoản 2 Điều 43",A,TIME,L1,Trong 15 ngày từ hồ sơ hợp lệ phải công nhận/cấp giấy hoặc từ chối.,Bộ hẹn 15 ngày và outcome quyết định/từ chối có lý do.,AE04;AE06;AE10;AE24;AE26,Có deadline từ mốc hồ sơ hợp lệ đến outcome.,ĐÁP ỨNG,,SU020,R1,
C03.18,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm c khoản 2 Điều 43",A,WORKFLOW,L1,"Khi cần thiết, cơ quan có thẩm quyền có thể thành lập Hội đồng tư vấn công nhận.",Workflow có nhánh tùy chọn sang hội đồng.,AE04;AE05;AE24;AE26,Có transition tạo hội đồng nhưng không bắt buộc mọi hồ sơ.,ĐÁP ỨNG,,SU021,R2,C03.19;C03.20;C03.21;C03.22
C03.19,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm c khoản 2 Điều 43",A,TIME,L1,"Nếu cần giải trình theo Hội đồng, trong 05 ngày làm việc sau họp phải yêu cầu giải trình/hoàn thiện.",Bộ hẹn sau phiên họp và sự kiện yêu cầu bổ sung.,AE04;AE05;AE10;AE24;AE26,Deadline 05 ngày tính từ timestamp phiên họp.,ĐÁP ỨNG,,SU021,R2,C03.18;C03.20;C03.21;C03.22
C03.20,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm c khoản 2 Điều 43",A,TIME,L1,Người nộp có 15 ngày để giải trình/hoàn thiện; quá hạn thì dừng xử lý.,Trạng thái chờ giải trình có deadline và transition đóng hồ sơ quá hạn.,AE04;AE10;AE24;AE26,Quá 15 ngày không bổ sung => trạng thái dừng có căn cứ.,ĐÁP ỨNG,,SU021,R2,C03.18;C03.19;C03.21;C03.22
C03.21,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm c khoản 2 Điều 43",A,TIME,L1,"Nếu đồng ý, trong 07 ngày làm việc từ họp Hội đồng hoặc nhận hồ sơ hoàn thiện phải ra quyết định/cấp giấy.",Bộ hẹn 07 ngày cho nhánh chấp thuận sau hội đồng/giải trình.,AE04;AE06;AE10;AE24;AE26,Deadline 07 ngày theo đúng mốc khởi tạo.,ĐÁP ỨNG,,SU021,R2,C03.18;C03.19;C03.20;C03.22
C03.22,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm c khoản 2 Điều 43",A,TIME,L1,"Nếu không đồng ý, trong 07 ngày làm việc phải thông báo kết quả và nêu rõ lý do.",Outcome từ chối lưu lý do và bằng chứng thông báo trong 07 ngày.,AE04;AE10;AE24;AE26,"Có reason code/text, timestamp và bằng chứng gửi.",ĐÁP ỨNG,,SU021,R2,C03.18;C03.19;C03.20;C03.21
C03.23,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 43",A,TIME,L1,"Nếu muốn tiếp tục công nhận, phải thực hiện thủ tục trước khi giấy hết hạn 60 ngày.",Cảnh báo gia hạn trước hạn 60 ngày; không tự gia hạn giấy.,AE06;AE10;AE24,Cảnh báo/khả năng mở hồ sơ tiếp tục trước 60 ngày.,ĐÁP ỨNG,,SU022,R1,
C03.24,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm a khoản 3 Điều 44",A,TIME,L1,Trong 05 ngày làm việc phải trả lời tính hợp lệ hồ sơ cấp lại.,Bộ hẹn 05 ngày cho kiểm tra hợp lệ cấp lại.,AE06;AE10;AE24,Deadline và bằng chứng trả lời được lưu.,ĐÁP ỨNG,,SU023,R1,
C03.25,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm b khoản 3 Điều 44",A,TIME,L1,Trong 15 ngày từ hồ sơ hợp lệ phải cấp lại hoặc từ chối.,Bộ hẹn 15 ngày cho outcome cấp lại.,AE06;AE10;AE24,Có deadline và outcome cấp lại/từ chối.,ĐÁP ỨNG,,SU024,R1,
C03.26,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 4 Điều 44",A,LIFECYCLE,L1,Giấy cấp lại giữ thời hạn hiệu lực của giấy đã cấp.,Version mới kế thừa expiry của bản gốc.,AE06;AE24,Expiry cấp lại không bị reset.,ĐÁP ỨNG,,SU025,R1,
C03.27,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 45",A,LIFECYCLE,L1,Các căn cứ chấm dứt hiệu lực Giấy công nhận phải được phản ánh trong quyết định trạng thái.,Kho rule mã hóa grounds và lưu căn cứ transition chấm dứt.,AE06;AE18;AE24;AE26,Transition chấm dứt bắt buộc có ground hợp lệ.,ĐÁP ỨNG,,SU026,R1,
C03.28,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 45",A,LIFECYCLE,L1,Các căn cứ hủy bỏ hiệu lực Giấy công nhận phải được phản ánh trong quyết định trạng thái.,Kho rule mã hóa grounds hủy bỏ và lưu căn cứ.,AE06;AE18;AE24;AE26,Transition hủy bỏ bắt buộc có ground hợp lệ.,ĐÁP ỨNG,,SU027,R1,
C03.29,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm a khoản 3 Điều 45",A,TIME,L1,Trong 05 ngày làm việc từ yêu cầu chấm dứt/hủy bỏ phải trả lời tính hợp lệ.,Bộ hẹn 05 ngày cho kiểm tra hồ sơ chấm dứt/hủy.,AE06;AE10;AE24;AE26,Deadline và bằng chứng trả lời được lưu.,ĐÁP ỨNG,,SU028,R1,
C03.30,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm b khoản 3 Điều 45",A,TIME,L1,Trong 15 ngày từ yêu cầu hợp lệ phải quyết định chấm dứt/hủy/từ chối; có thể lập hội đồng.,"Workflow 15 ngày, outcome và nhánh hội đồng tùy chọn.",AE05;AE06;AE10;AE24;AE26,"Có deadline, quyết định và audit trail.",ĐÁP ỨNG,,SU029,R1,
C03.31,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 48",A,AUTHORITY,L1,"UBND cấp tỉnh nơi doanh nghiệp đặt trụ sở chính có thẩm quyền tiếp nhận, thẩm định, cấp/thay đổi/cấp lại/thu hồi/hủy Giấy chứng nhận DNKH&CN.",Mỗi cấp tỉnh xử lý trên nút dữ liệu nghiệp vụ theo phạm vi thẩm quyền; chỉ chủ thể đúng thẩm quyền được chốt quyết định.,AE07;AE08;AE09;AE20;AE24,"Ca kiểm thử phải chứng minh hồ sơ được định tuyến đúng tỉnh và quyết định được ghi tại AE24, không tại lớp trung ương.",ĐÁP ỨNG,,SU030,R1,
C03.32,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 48",A,DATA_SYNC,L1,UBND cấp tỉnh định kỳ cập nhật dữ liệu vòng đời chứng nhận DNKH&CN lên nền tảng quốc gia.,"CSDL tỉnh là nguồn vận hành cho vòng đời chứng nhận; thay đổi được đồng bộ/thông báo về AE25 với provenance, version và freshness.",AE06;AE10;AE11;AE12;AE15;AE24;AE25,Mỗi thay đổi tại AE24 tạo bản ghi đồng bộ hoặc truy vấn được ở AE25 mà không thay nguồn pháp lý.,ĐÁP ỨNG,,SU031,R1,
C03.33,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 50",A,CHANNEL,L1,Hồ sơ cấp Giấy chứng nhận DNKH&CN được nộp qua hệ thống dịch vụ công.,Không xây cổng TTHC thay thế; tích hợp kênh tiếp nhận với hệ thống dịch vụ công.,AE07;AE20;AE24,Hình ranh giới thể hiện hệ thống TTHC bên ngoài và contract hồ sơ/kết quả.,ĐÁP ỨNG,,SU032,R1,
C03.34,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, điểm b khoản 2 Điều 50",A,EVIDENCE,L1,"Hồ sơ có thể dùng các văn bản công nhận/kết quả từ chuyển giao công nghệ, sở hữu trí tuệ và kết quả nhiệm vụ KH,CN&ĐMST.","Tham chiếu nguồn bằng chứng chuyên ngành, không biến bản sao thành nguồn pháp lý mới.",AE19;AE15;AE16;AE24,"Mỗi evidence record lưu loại, nguồn, định danh và trạng thái xác minh.",ĐÁP ỨNG,,SU033,R1,
C03.35,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 51",A,TIME,L1,Trong 03 ngày làm việc từ tiếp nhận hồ sơ DNKH&CN phải kiểm tra đầy đủ/hợp lệ.,Bộ hẹn 03 ngày làm việc cho trạng thái kiểm tra.,AE08;AE10;AE24;AE26,Có timestamp và deadline 03 ngày.,ĐÁP ỨNG,,SU034,R1,
C03.36,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 51",A,TIME,L1,Trong 15 ngày từ hồ sơ hợp lệ phải cấp hoặc từ chối cấp Giấy chứng nhận.,Bộ hẹn 15 ngày và outcome cấp/từ chối.,AE08;AE06;AE10;AE24;AE26,Có deadline và evidence của quyết định.,ĐÁP ỨNG,,SU035,R1,
C03.37,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 51",A,WORKFLOW,L1,"Thẩm định có thể theo tự thẩm định, chuyên gia độc lập hoặc Hội đồng.",Workflow hỗ trợ ba mode đánh giá và lưu chủ thể/kết quả.,AE08;AE05;AE24;AE26,Mỗi hồ sơ ghi mode thẩm định và artefact đánh giá tương ứng.,ĐÁP ỨNG,,SU036,R1,
C03.38,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 52",A,TIME,L1,Trong 10 ngày từ hồ sơ hợp lệ phải cấp/từ chối thay đổi nội dung hoặc cấp lại Giấy chứng nhận DNKH&CN.,Bộ hẹn 10 ngày và version certificate.,AE06;AE08;AE10;AE24;AE26,Deadline và outcome gắn version mới.,ĐÁP ỨNG,,SU037,R1,
C03.39,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 1 Điều 53",A,TIME,L1,Định kỳ 03 năm từ ngày cấp phải kiểm tra điều kiện duy trì hiệu lực.,Lịch hậu kiểm 03 năm gắn giấy và trạng thái.,AE09;AE10;AE24;AE26,Tạo được lịch hậu kiểm từ ngày cấp và lưu kết quả.,ĐÁP ỨNG,,SU038,R1,
C03.40,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 53",A,LIFECYCLE,L1,Thu hồi Giấy chứng nhận chỉ theo các căn cứ được quy định.,Kho rule grounds thu hồi và căn cứ quyết định.,AE09;AE18;AE24;AE26,Transition thu hồi có ground hợp lệ và evidence.,ĐÁP ỨNG,,SU039,R1,
C03.41,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 3 Điều 53",A,LIFECYCLE,L1,Hủy bỏ hiệu lực Giấy chứng nhận chỉ theo các căn cứ được quy định.,Kho rule grounds hủy bỏ và căn cứ quyết định.,AE09;AE18;AE24;AE26,Transition hủy bỏ có ground hợp lệ và evidence.,ĐÁP ỨNG,,SU040,R1,
C03.42,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 4 Điều 53",A,WORKFLOW,L1,Cơ quan có thẩm quyền có thể lập Hội đồng tư vấn khi xem xét thu hồi/hủy bỏ.,Workflow có nhánh hội đồng tùy chọn.,AE09;AE05;AE24;AE26,Có thể tạo hội đồng và liên kết kết quả với quyết định.,ĐÁP ỨNG,,SU041,R1,
C03.43,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 5 Điều 53",A,PUBLICATION,L1,Việc thu hồi/hủy bỏ phải công khai trên cổng thông tin của cơ quan ít nhất 30 ngày kể từ quyết định.,Lưu publication window và bằng chứng công khai; hỗ trợ feed/công bố.,AE09;AE21;AE10;AE24;AE26,"Có mốc bắt đầu, thời hạn >=30 ngày và bằng chứng URL/ấn phẩm.",ĐÁP ỨNG,,SU042,R1,
C03.44,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 54",A,REPORTING,L1,DNKH&CN báo cáo đầy đủ/chính xác trên nền tảng trực tuyến của Bộ trước 15/12 hằng năm.,"Biểu mẫu báo cáo, kỳ báo cáo, deadline và provenance doanh nghiệp nộp.",AE10;AE15;AE24,"Mỗi kỳ có trạng thái nộp, timestamp và cảnh báo trước 15/12.",ĐÁP ỨNG,,SU043,R1,
C03.45,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 4 Điều 65",A,GOVERNANCE,L1,"Bộ KH&CN xây dựng, quản lý, phát triển, duy trì mạng lưới/CSDL và thiết lập kết nối, liên thông, chia sẻ thông tin.","V1/V4 xác định vai trò trung ương, cấp tỉnh, source owner, platform operator và architecture/data governance; AE20 giữ boundary.",AE11;AE12;AE17;AE20;AE22;AE24,Responsibility model chỉ rõ ai quản trị CSDL/liên thông và platform không chiếm thẩm quyền nghiệp vụ.,ĐÁP ỨNG,Governance responsibility formalized in WP3.,SU044,R1,
C03.46,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 2 Điều 66",A,TIME,L1,UBND cấp tỉnh/cơ quan được ủy quyền thông báo Bộ trong 15 ngày từ quyết định công nhận/cấp lại/chấm dứt/hủy bỏ và Giấy chứng nhận DNKH&CN.,"Nút tỉnh phát sự kiện/thông báo lên lớp trung ương; deadline 15 ngày, retry, receipt và audit độc lập với khả dụng tức thời của trung ương.",AE10;AE11;AE12;AE15;AE24;AE25,Giả lập central unavailable: địa phương vẫn ghi quyết định; hàng đợi/outbox giữ event và gửi lại trong giới hạn nghiệp vụ.,ĐÁP ỨNG,,SU045,R1,
C03.47,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 4 Điều 66",A,PUBLICATION,L1,"Cấp tỉnh cung cấp/cập nhật thông tin mạng lưới, CSDL và công bố thông tin hoạt động ĐMST/KNST trên cổng địa phương.","Định nghĩa publication data contract; platform cung cấp feed/metadata, cổng địa phương thực hiện công bố.",AE17;AE20;AE21;AE24,Có responsibility boundary và contract tối thiểu cho dữ liệu công bố địa phương.,ĐÁP ỨNG,Publication boundary formalized in WP3.,SU046,R1,
C03.48,C03,Luật 93/2025/QH15; NĐ 268/2025/NĐ-CP,"NĐ 268, khoản 5 Điều 66",A,REPORTING,L1,Cấp tỉnh theo dõi/tổng hợp/đánh giá và báo cáo Bộ trước 31/3 hằng năm.,AE25 tổng hợp mô hình đọc/báo cáo từ các AE24 theo phạm vi thẩm quyền; giữ độ mới/nguồn gốc để đối soát.,AE10;AE17;AE15;AE24;AE25,"Báo cáo trung ương truy được dữ liệu từng tỉnh, kỳ, nguồn và thời điểm đồng bộ.",ĐÁP ỨNG,,SU047,R1,
